,source,target,maxspeed,name,length,tunnel,osmid,ref,width,bridge,railway,oneway,lanes,geometry,service
1711,2077019533,3184142647,90,Linha do Oeste,9711.323,,"[38461424, 473233736, 175877240, 38565407]",,,viaduct,rail,False,,"LINESTRING (-8.8279209 39.7549124, -8.827942 39.7546019, -8.8279809 39.7542337, -8.8280336 39.753958, -8.8281517 39.7535244, -8.82833 39.7530883, -8.8286283 39.7525909, -8.829007 39.7521096, -8.8296336 39.7515223, -8.8301572 39.751199, -8.8305434 39.7509614, -8.831247 39.7506313, -8.8317094 39.7504362, -8.8319509 39.7503343, -8.8354138 39.7488876, -8.8364142 39.7484604, -8.838244 39.7477153, -8.8388792 39.7474975, -8.8394663 39.747354, -8.8400146 39.7472636, -8.8405526 39.7472186, -8.8409718 39.7472065, -8.8418387 39.7472725, -8.8424918 39.7473793, -8.8444579 39.7479009, -8.8449448 39.7479959, -8.8454807 39.748065, -8.8459897 39.7480916, -8.8465903 39.748083, -8.8471739 39.7480262, -8.8476975 39.7479349, -8.8482171 39.7478014, -8.8486942 39.7476365, -8.8491988 39.7474251, -8.8497406 39.7471306, -8.8502474 39.7467842, -8.8519976 39.7453855, -8.8524627 39.7450411, -8.8528819 39.7447769, -8.8534727 39.7444506, -8.8540695 39.7441893, -8.85461 39.7439907, -8.8551532 39.7438323, -8.8559041 39.7436566, -8.8629128 39.7425875, -8.8637891 39.7424353, -8.8646585 39.742192, -8.8653625 39.7419216, -8.865947 39.741632, -8.8698231 39.739321, -8.8705362 39.7389497, -8.8711676 39.738698, -8.8717523 39.7385104, -8.8723894 39.7383637, -8.8730491 39.7382639, -8.8737374 39.738202, -8.8761005 39.7381154, -8.8769344 39.7380399, -8.8777353 39.7379195, -8.8783596 39.7377921, -8.8790751 39.7375874, -8.8798263 39.7373373, -8.880529 39.7370527, -8.8811967 39.7367325, -8.8818661 39.7363659, -8.8823487 39.7360621, -8.8829605 39.7356326, -8.8835124 39.7351683, -8.8881303 39.7308547, -8.8886492 39.7304215, -8.8892473 39.7300028, -8.8898669 39.7296584, -8.8905578 39.7293627, -8.891193 39.7291735, -8.8920967 39.7289798, -8.8928281 39.7288872, -8.8939868 39.7288674, -8.8986424 39.7290949, -8.9009002 39.7292003, -8.9016019 39.72927, -8.9022866 39.7293756, -8.9032165 39.7296273, -8.9041148 39.7299895, -8.9076182 39.7317637, -8.9163682 39.7361948, -8.9186652 39.7373465, -8.9194212 39.7376728, -8.9199405 39.7378268, -8.9205081 39.7379588, -8.921059 39.7380325, -8.9216676 39.7380766, -8.9223043 39.7380579, -8.9229386 39.7379896, -8.9234592 39.7378929, -8.9240657 39.7377238, -8.9244188 39.7375997, -8.9246843 39.7374904, -8.9250777 39.7373156)",
1712,2077019533,4673702978,90,Linha do Oeste,603.861,,"[845249649, 473189526]",,,,rail,False,,"LINESTRING (-8.8279209 39.7549124, -8.8279023 39.7554069, -8.8278737 39.7563749, -8.8278628 39.7565986, -8.8278472 39.7569181, -8.8277168 39.7595916, -8.827649 39.7603385)",
1713,2100389958,2100389962,,,503.211,,"[200051826, 473189558]",,,,rail,False,,"LINESTRING (-8.8480282 39.8536129, -8.8480255 39.8540135, -8.8479853 39.8545427, -8.8478079 39.8559889, -8.8476802 39.8570294, -8.8476178 39.8573511, -8.8475508 39.8575858, -8.847414 39.8578802, -8.8473014 39.8580814)",siding
1714,2100389958,2100389970,,,89.942,,200051827,,,,rail,False,,"LINESTRING (-8.8480282 39.8536129, -8.8480765 39.8531693, -8.8480792 39.8529983, -8.848081 39.8528056)",siding
1715,2100389962,2100389976,,,41.68,,473189559,,,,rail,False,,,siding
1716,2100389970,2100389976,90,Linha do Oeste,632.0600000000001,,"[473189560, 272027101]",,,,rail,False,,"LINESTRING (-8.848081 39.8528056, -8.8479951 39.8534149, -8.8479155 39.8541133, -8.847845 39.8547315, -8.8477601 39.8554363, -8.8476919 39.8559688, -8.8476897 39.8559856, -8.8475575 39.8570176, -8.8474694 39.8574444, -8.8472962 39.8579702, -8.8471177 39.8584287)",
1717,3000588557,3184155180,,Ramal de Maceira-Liz,3855.853,,"[296259518, 775138783]",,,,rail,False,,"LINESTRING (-8.9038243 39.6841752, -8.9071174 39.6836339, -8.9074385 39.6836151, -8.9077231 39.6836496, -8.908028 39.6837153, -8.9081867 39.683763, -8.9083899 39.6838154, -8.9087801 39.6839812, -8.9091176 39.6841533, -8.9093859 39.6843316, -8.9096908 39.6845631, -8.909875 39.6847395, -8.9100681 39.6850574, -8.9101754 39.6853588, -8.9102451 39.6857055, -8.910272 39.6860647, -8.9102559 39.6863702, -8.9102505 39.6867871, -8.9102612 39.6871545, -8.910331 39.6874807, -8.9104275 39.6878026, -8.9106207 39.6881742, -8.9107977 39.6884177, -8.9110605 39.6886819, -8.9114039 39.6890204, -8.9139412 39.69049, -8.9165968 39.6920842, -8.918222 39.6930617, -8.9184795 39.693202, -8.9185789 39.6932401, -8.9188121 39.6933217, -8.9191125 39.6934084, -8.9194988 39.6935075, -8.9198689 39.6935446, -8.9202551 39.6935735, -8.9206199 39.6935446, -8.9210062 39.6935033, -8.9214031 39.6934125, -8.921843 39.693268, -8.925515 39.6917308, -8.9269607 39.6911257, -8.9316603 39.6891588, -8.932647 39.6887397, -8.9333712 39.6885127, -8.9336501 39.6884755, -8.9339666 39.6884466, -8.934267 39.688426, -8.9345996 39.6884425, -8.9349483 39.6884838, -8.9351104 39.6885166, -8.9353774 39.6885705, -8.9357422 39.6886902, -8.9360802 39.6888347, -8.9387208 39.6901519, -8.939107 39.6903356, -8.9396005 39.6905027, -8.9396524 39.690512)",spur
1718,3000725674,4674313977,,,12.059,,296273565,,,,rail,False,,,yard
1719,3000725674,7885525492,,Ramal de Maceira-Liz,134.279,,845217037,,,,rail,False,,,crossover
1720,3000725674,3184157275,,,140.614,,296273565,,,,rail,False,,"LINESTRING (-8.9437555 39.6889585, -8.9441187 39.688652, -8.9444178 39.6883932, -8.9448531 39.6880174)",yard
1721,3184142636,3184142648,,,188.09000000000003,,473233716,,,,rail,False,,"LINESTRING (-8.9310933 39.7343953, -8.9308838 39.7345142, -8.930644 39.7346424, -8.9303208 39.7348034, -8.9300402 39.7349347, -8.9293694 39.7352536, -8.9292458 39.7353119)",siding
1722,3184142636,3184142647,90,Linha do Oeste,608.827,,"[473233717, 473233735]",,,,rail,False,,"LINESTRING (-8.9310933 39.7343953, -8.9309208 39.7345186, -8.9306429 39.7346802, -8.9302553 39.7348741, -8.929743 39.7351225, -8.9294239 39.7352733, -8.9280693 39.7359249, -8.9265284 39.7366382, -8.9261748 39.7368018, -8.9260617 39.7368532, -8.9250777 39.7373156)",
1723,3184142636,7885525490,90,Linha do Oeste,5033.404999999999,,473291189,,,,rail,False,,"LINESTRING (-8.9310933 39.7343953, -8.9311564 39.7343502, -8.9312173 39.7343067, -8.9316922 39.733917, -8.9320277 39.7335837, -8.9323008 39.7332329, -8.9325283 39.7328853, -8.9326645 39.7326399, -8.9328003 39.7323432, -8.9329638 39.7317913, -8.9330319 39.7313912, -8.9338243 39.7250247, -8.934594 39.7204761, -8.9352495 39.7166037, -8.9356914 39.7140375, -8.936144 39.7114089, -8.9367648 39.7077943, -8.937063 39.7060584, -8.9373461 39.7044445, -8.9375283 39.7036964, -8.937733 39.703132, -8.9379896 39.7025604, -8.9383918 39.7018456, -8.9397438 39.6998998, -8.9402593 39.6991696, -8.9407178 39.6984258, -8.9409889 39.6978472, -8.941211 39.6972577, -8.9422144 39.6939804, -8.9432457 39.6905805)",
1724,3184142647,3184142655,,,41.958,,473233715,,,,rail,False,,,siding
1725,3184142648,3184142655,,,379.32000000000005,,312542013,,,,rail,False,,"LINESTRING (-8.9292458 39.7353119, -8.9288369 39.7354568, -8.928475 39.7356053, -8.9279973 39.7358117, -8.927107 39.7362384, -8.926455 39.7365453, -8.9261158 39.736705, -8.9259138 39.7368215, -8.925472 39.737091)",siding
1726,3184155180,4674313977,,Ramal de Maceira-Liz,511.103,,312542824,,,,rail,False,,"LINESTRING (-8.9396524 39.690512, -8.9399841 39.6905977, -8.9401343 39.6906266, -8.9403542 39.690641, -8.9406225 39.6906472, -8.9408504 39.6906348, -8.941065 39.6906101, -8.9413949 39.6905523, -8.9416095 39.6904965, -8.9418053 39.6904305, -8.9420172 39.69035, -8.9421754 39.6902695, -8.9424732 39.690092, -8.942677 39.6899331, -8.9438384 39.6889465, -8.9440704 39.6887329, -8.9436605 39.6890386)",spur
1727,3184156968,7885525491,,,55.402,,845217035,,,,rail,False,,,
1728,3184156983,3184156993,,,34.613,,473291188,,,,rail,False,,,yard
1729,3184156983,3203271040,90,Linha do Oeste,5078.627,,473291167,,,,rail,False,,"LINESTRING (-8.9468994 39.6863064, -8.9523534 39.6816673, -8.9527966 39.681348, -8.953278 39.6810508, -8.953828 39.6807724, -8.9543926 39.6805532, -8.9549397 39.680384, -8.9603463 39.678834, -8.9609418 39.6786947, -8.9616806 39.6785988, -8.9623733 39.6785647, -8.965789 39.678637, -8.9665661 39.6786199, -8.9673388 39.6785831, -8.9700648 39.6784439, -8.9707731 39.6783546, -8.9714314 39.6781693, -8.9720354 39.677926, -8.9726684 39.6775596, -8.9732539 39.677103, -8.9736488 39.6767287, -8.9739836 39.6763268, -8.9744234 39.6756528, -8.9816667 39.6617094, -8.9832855 39.6586069, -8.983959 39.6572831, -8.9842152 39.6568211, -8.9843186 39.6566321)",
1730,3184156983,7885525492,90,Linha do Oeste,264.935,,"[473291189, 473291175]",,,,rail,False,,"LINESTRING (-8.9468994 39.6863064, -8.9458862 39.6871778, -8.9457679 39.6872795, -8.9452841 39.6876957, -8.9448369 39.6880834)",
1731,3184156984,3184156993,,,369.20000000000005,,"[312542932, 473291174]",,,,rail,False,,"LINESTRING (-8.9439182 39.6891104, -8.9440764 39.6888922, -8.9442233 39.6887165, -8.9442374 39.6887002, -8.944402 39.68853, -8.9445878 39.6883475, -8.9447913 39.6881677, -8.945577 39.6875046, -8.9458067 39.6873073, -8.9459266 39.6872044, -8.9462636 39.6869149, -8.9466641 39.6865596)",yard
