desigcomercial;numbicicletas;numdocasvacias;position;add_data;add_hora
214 - Largo de Santos;23;1;"{""coordinates"": [-9.15424, 38.70673], ""type"": ""Point""}";2020-10-30;19:49:29.
446 - Av. República / Interface Entrecampos ;22;18;"{""coordinates"": [-9.14773, 38.74456], ""type"": ""Point""}";2020-10-30;19:49:29.
456 - Entrecampos / Av. das Forças Armadas;7;34;"{""coordinates"": [-9.14872, 38.74877], ""type"": ""Point""}";2020-10-30;19:49:29.
101 - Alameda dos Oceanos / Rua dos Argonautas;11;5;"{""coordinates"": [-9.096804, 38.756161], ""type"": ""Point""}";2020-10-30;19:49:30.
416 - Av. República / Avenida Duque de Ávila;0;16;"{""coordinates"": [-9.14553, 38.735304], ""type"": ""Point""}";2020-10-30;19:49:30.
433 - Av. Paris / Av. Almirante Reis;1;13;"{""coordinates"": [-9.13409, 38.74095], ""type"": ""Point""}";2020-10-30;19:49:30.
303 - Avenida da Liberdade / Rua das Pretas;0;16;"{""coordinates"": [-9.14455, 38.71957], ""type"": ""Point""}";2019-07-01;16:35:49.
479 - Rua Professor Oliveira Marques;1;13;"{""coordinates"": [-9.15724, 38.75491], ""type"": ""Point""}";2019-07-04;09:17:11.
203 - Padrão dos Descobrimentos;2;20;"{""coordinates"": [-9.20633, 38.6935], ""type"": ""Point""}";2019-07-30;15:47:30.
205 - Av. Brasília / Cordoaria;0;10;"{""coordinates"": [-9.188, 38.697], ""type"": ""Point""}";2019-07-30;16:27:29.
475 - Av. Professor Gama Pinto / Cantina Velha;1;40;"{""coordinates"": [-9.15907, 38.75115], ""type"": ""Point""}";2020-10-30;19:49:27.
113 - Alameda dos Oceanos/ Passeio do Levante;0;14;"{""coordinates"": [-9.09825, 38.78414], ""type"": ""Point""}";2020-10-30;19:49:27.
109 - Alameda dos Oceanos / Rua Ilha dos Amores;5;9;"{""coordinates"": [-9.094672, 38.777589], ""type"": ""Point""}";2020-10-30;19:49:28.
104 - Gare do Oriente;2;38;"{""coordinates"": [-9.097322, 38.766716], ""type"": ""Point""}";2020-10-30;19:49:28.
